# Spectral unit: Wavelength [um]
# Wave/freq Total
1.309611279000000073e+00 7.945600000000000440e-01
1.312230500999999938e+00 7.622299999999999631e-01
1.314854962000000071e+00 6.534200000000000008e-01
1.317484671999999968e+00 6.281499999999999861e-01
1.320119642000000093e+00 6.578199999999999603e-01
1.322759881000000082e+00 6.245600000000000041e-01
1.325405401000000039e+00 5.830699999999999772e-01
1.328056211999999903e+00 5.710499999999999465e-01
1.330712324000000057e+00 4.804999999999999827e-01
1.333373748999999941e+00 3.243099999999999872e-01
1.336040496000000077e+00 3.160000000000000031e-01
1.338712576999999904e+00 3.739999999999999991e-01
1.341390002000000026e+00 3.596099999999999852e-01
1.344072782000000021e+00 3.423599999999999977e-01
1.346760927999999913e+00 2.257599999999999885e-01
1.349454450000000083e+00 7.582999999999999463e-02
1.352153359000000110e+00 2.599999999999999881e-02
1.354857664999999933e+00 8.630000000000000518e-03
1.357567380999999962e+00 2.999999999999999737e-04
1.360282514999999970e+00 0.000000000000000000e+00
1.363003079999999922e+00 0.000000000000000000e+00
1.365729087000000064e+00 0.000000000000000000e+00
1.368460545000000028e+00 0.000000000000000000e+00
1.371197465999999920e+00 0.000000000000000000e+00
1.373939860999999985e+00 1.000000000000000082e-05
1.376687739999999938e+00 4.000000000000000327e-05
1.379441115999999967e+00 1.700000000000000122e-04
1.382199997999999930e+00 1.299999999999999886e-04
1.384964397999999930e+00 0.000000000000000000e+00
1.387734326999999990e+00 1.000000000000000082e-05
1.390509795999999909e+00 1.499999999999999869e-04
1.393290815000000071e+00 2.900000000000000017e-04
1.396077396999999998e+00 1.600000000000000131e-04
1.398869552000000072e+00 5.599999999999999509e-04
1.401667291000000093e+00 5.599999999999999509e-04
1.404470625000000084e+00 1.340000000000000045e-03
1.407279567000000009e+00 1.399999999999999986e-03
1.410094125999999948e+00 4.000000000000000192e-04
1.412914314000000005e+00 2.230000000000000211e-03
1.415740143000000062e+00 7.490000000000000130e-03
1.418571623000000059e+00 1.469999999999999953e-02
1.421408766000000101e+00 1.013999999999999971e-02
1.424251584000000070e+00 1.291999999999999919e-02
1.427100086999999906e+00 3.690000000000000224e-02
1.429954286999999935e+00 3.586000000000000298e-02
1.432814196000000040e+00 4.624000000000000332e-02
1.435679823999999938e+00 5.528000000000000275e-02
1.438551184000000038e+00 3.917000000000000343e-02
1.441428286000000059e+00 5.183999999999999719e-02
1.444311142999999964e+00 6.274000000000000410e-02
1.447199764999999916e+00 4.843000000000000083e-02
1.450094164000000019e+00 1.005599999999999966e-01
1.452994353000000016e+00 9.983000000000000207e-02
1.455900340999999987e+00 1.140700000000000047e-01
1.458812141999999978e+00 2.143100000000000005e-01
1.461729765999999930e+00 2.267099999999999949e-01
1.464653226000000030e+00 2.327700000000000047e-01
1.467582531999999995e+00 1.767299999999999982e-01
1.470517697000000013e+00 1.105399999999999994e-01
1.473458732999999965e+00 8.237999999999999490e-02
1.476405650000000014e+00 1.726699999999999902e-01
1.479358461999999985e+00 2.297899999999999943e-01
1.482317177999999958e+00 1.533599999999999963e-01
1.485281813000000062e+00 2.286600000000000021e-01
1.488252375999999932e+00 2.455100000000000060e-01
1.491228881000000062e+00 3.366799999999999793e-01
1.494211339000000027e+00 4.475799999999999779e-01
1.497199761999999934e+00 4.647399999999999864e-01
1.500194161000000026e+00 5.670300000000000340e-01
1.503194549999999907e+00 6.877900000000000125e-01
1.506200938999999961e+00 6.411999999999999922e-01
1.509213340000000070e+00 6.306000000000000494e-01
1.512231767000000060e+00 7.846400000000000041e-01
1.515256230999999953e+00 7.983700000000000241e-01
1.518286742999999994e+00 7.863999999999999879e-01
1.521323317000000008e+00 8.217700000000000005e-01
1.524365962999999935e+00 8.792400000000000215e-01
1.527414695000000044e+00 8.941900000000000404e-01
1.530469524999999997e+00 8.816300000000000248e-01
1.533530464000000038e+00 9.202799999999999869e-01
1.536597524999999909e+00 9.414000000000000146e-01
1.539670719999999937e+00 9.467900000000000205e-01
1.542750061000000006e+00 9.551399999999999890e-01
1.545835561000000080e+00 9.591199999999999726e-01
1.548927232000000043e+00 9.657000000000000028e-01
1.552025087000000081e+00 9.755300000000000082e-01
1.555129136999999995e+00 9.775199999999999445e-01
1.558239394999999972e+00 9.852300000000000502e-01
1.561355873999999977e+00 9.893600000000000172e-01
1.564478585999999893e+00 9.808299999999999796e-01
1.567607543000000048e+00 9.794399999999999773e-01
1.570742757999999961e+00 9.688299999999999690e-01
1.573884244000000043e+00 9.324200000000000266e-01
1.577032012000000094e+00 9.328199999999999825e-01
1.580186075999999940e+00 9.412500000000000311e-01
1.583346447999999906e+00 9.464799999999999880e-01
1.586513140999999960e+00 9.715700000000000447e-01
1.589686166999999983e+00 9.842899999999999983e-01
1.592865540000000024e+00 9.840600000000000458e-01
1.596051271000000105e+00 9.847299999999999942e-01
1.599243372999999968e+00 9.801199999999999912e-01
1.602441860000000107e+00 9.486200000000000188e-01
1.605646743999999959e+00 9.326999999999999735e-01
1.608858037000000074e+00 9.442300000000000137e-01
1.612075753000000056e+00 9.479300000000000503e-01
1.615299905000000091e+00 9.595299999999999940e-01
1.618530505000000064e+00 9.788200000000000234e-01
1.621767565999999938e+00 9.876599999999999824e-01
1.625011100999999902e+00 9.924699999999999633e-01
1.628261122999999921e+00 9.959099999999999620e-01
1.631517644999999961e+00 9.969999999999999973e-01
1.634780681000000069e+00 9.928200000000000358e-01
1.638050242000000045e+00 9.904300000000000326e-01
1.641326341999999938e+00 9.862499999999999600e-01
1.644608995000000018e+00 9.838299999999999823e-01
1.647898212999999945e+00 9.812499999999999556e-01
1.651194008999999907e+00 9.788799999999999724e-01
1.654496398000000035e+00 9.743399999999999839e-01
1.657805390000000045e+00 9.734300000000000175e-01
1.661121000999999930e+00 9.831600000000000339e-01
1.664443243000000017e+00 9.751800000000000468e-01
1.667772129999999908e+00 9.737099999999999644e-01
1.671107673999999932e+00 9.816000000000000281e-01
1.674449888999999914e+00 9.829599999999999449e-01
1.677798788999999902e+00 9.796000000000000263e-01
1.681154387000000083e+00 9.772100000000000231e-01
1.684516694999999897e+00 9.761800000000000477e-01
1.687885729000000001e+00 9.793500000000000538e-01
1.691261499999999973e+00 9.659400000000000208e-01
1.694644022999999944e+00 9.549199999999999910e-01
1.698033311000000101e+00 9.428400000000000114e-01
1.701429378000000048e+00 9.344400000000000484e-01
1.704832236999999973e+00 9.591100000000000181e-01
1.708241901000000063e+00 9.520199999999999774e-01
1.711658385000000004e+00 9.140000000000000346e-01
1.715081701999999986e+00 8.971099999999999630e-01
1.718511864999999972e+00 9.204900000000000304e-01
1.721948889000000094e+00 9.100300000000000056e-01
1.725392787000000094e+00 8.498099999999999543e-01
1.728843571999999940e+00 8.720700000000000118e-01
